|6.6.6
morb_1.tab                                                                                          
           2
P(bar)  
   10000.000000000000     
   20000.000000000000     
          68
T(K)    
   400.00000000000000     
   100.00000000000000     
          37
27
P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg vol_fraction_Sp vol_fraction_Pl vol_fraction_Aki vol_fraction_Cpx vol_fraction_O vol_fraction_Ring vol_fraction_seif vol_fraction_Ppv vol_fraction_Opx vol_fraction_Wus vol_fraction_Gt vol_fraction_st vol_fraction_C2_c vol_fraction_coe vol_fraction_q vol_fraction_CF vol_fraction_Pv vol_fraction_ky vol_fraction_ca_pv
570000. 400.000 5087.15 0.106811E-004 803.939 12.4349 7.00860 -76606.9 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199336 0.000000 0.000000 0.000000 0.295430 0.259758 0.000000 0.245476
590000. 400.000 5109.78 0.104812E-004 801.118 12.4944 7.03544 313973. 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199448 0.000000 0.000000 0.000000 0.295379 0.259718 0.000000 0.245455
610000. 400.000 5132.17 0.102886E-004 798.339 12.5533 7.06228 702852. 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199558 0.000000 0.000000 0.000000 0.295349 0.259658 0.000000 0.245436
630000. 400.000 5154.33 0.101026E-004 795.599 12.6112 7.08847 0.109007E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199663 0.000000 0.000000 0.000000 0.295316 0.259604 0.000000 0.245416
650000. 400.000 5176.25 0.992309E-005 792.899 12.6683 7.11424 0.147566E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199766 0.000000 0.000000 0.000000 0.295289 0.259549 0.000000 0.245397
670000. 400.000 5197.94 0.974962E-005 790.236 12.7246 7.13961 0.185964E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199865 0.000000 0.000000 0.000000 0.295266 0.259491 0.000000 0.245378
690000. 400.000 5219.42 0.958192E-005 787.610 12.7801 7.16458 0.224204E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199962 0.000000 0.000000 0.000000 0.295247 0.259432 0.000000 0.245360
710000. 400.000 5240.69 0.941967E-005 785.019 12.8349 7.18908 0.262291E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200055 0.000000 0.000000 0.000000 0.295229 0.259374 0.000000 0.245341
730000. 400.000 5261.74 0.926262E-005 782.462 12.8888 7.21319 0.300225E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200146 0.000000 0.000000 0.000000 0.295215 0.259316 0.000000 0.245323
750000. 400.000 5282.60 0.911052E-005 779.939 12.9421 7.23689 0.338010E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200235 0.000000 0.000000 0.000000 0.295203 0.259258 0.000000 0.245305
770000. 400.000 5303.26 0.896314E-005 777.448 12.9947 7.26021 0.375648E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200320 0.000000 0.000000 0.000000 0.295193 0.259200 0.000000 0.245287
790000. 400.000 5323.72 0.882026E-005 774.989 13.0466 7.28315 0.413143E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200404 0.000000 0.000000 0.000000 0.295185 0.259142 0.000000 0.245269
810000. 400.000 5344.00 0.868166E-005 772.561 13.0977 7.30565 0.450495E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200485 0.000000 0.000000 0.000000 0.295176 0.259088 0.000000 0.245251
830000. 400.000 5364.10 0.854716E-005 770.162 13.1482 7.32778 0.487708E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200563 0.000000 0.000000 0.000000 0.295169 0.259034 0.000000 0.245234
850000. 400.000 5384.01 0.841655E-005 767.794 13.1981 7.34945 0.524785E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200640 0.000000 0.000000 0.000000 0.295159 0.258985 0.000000 0.245216
870000. 400.000 5403.74 0.828968E-005 765.454 13.2473 7.37076 0.561726E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200714 0.000000 0.000000 0.000000 0.295150 0.258937 0.000000 0.245199
890000. 400.000 5423.28 0.816626E-005 763.142 13.2956 7.39121 0.598539E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200785 0.000000 0.000000 0.000000 0.295121 0.258913 0.000000 0.245180
910000. 400.000 5442.69 0.804648E-005 760.857 13.3437 7.41203 0.635215E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200856 0.000000 0.000000 0.000000 0.295122 0.258859 0.000000 0.245164
930000. 400.000 5461.94 0.793004E-005 758.598 13.3913 7.43268 0.671762E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200925 0.000000 0.000000 0.000000 0.295129 0.258799 0.000000 0.245147
950000. 400.000 5484.15 0.788344E-005 755.724 13.4313 7.45660 0.708110E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.032914 0.000000 0.000000 0.000000 0.201106 0.000000 0.000000 0.000000 0.295338 0.225371 0.000000 0.245270
970000. 400.000 5510.66 0.792527E-005 751.929 13.4627 7.48767 0.744152E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.110177 0.000000 0.000000 0.000000 0.201447 0.000000 0.000000 0.000000 0.295886 0.146899 0.000000 0.245591
990000. 400.000 5528.81 0.779941E-005 749.818 13.5091 7.50484 0.780305E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.103226 0.000000 0.000000 0.000000 0.201468 0.000000 0.000000 0.000000 0.295718 0.154043 0.000000 0.245545
0.101000E+007 400.000 5552.24 0.777958E-005 746.568 13.5459 7.53180 0.816094E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150050 0.000000 0.000000 0.000000 0.201688 0.000000 0.000000 0.000000 0.295996 0.106527 0.000000 0.245740
0.103000E+007 400.000 5573.63 0.772163E-005 743.725 13.5861 7.55564 0.851805E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.176950 0.000000 0.000000 0.000000 0.201847 0.000000 0.000000 0.000000 0.296148 0.079205 0.000000 0.245849
0.105000E+007 400.000 5608.39 0.759081E-005 738.644 13.6381 7.53782 0.887295E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199666 0.181588 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296962 0.075231 0.000000 0.246553
0.107000E+007 400.000 5627.73 0.750482E-005 736.266 13.6792 7.55616 0.922773E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199786 0.190773 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296951 0.065908 0.000000 0.246582
0.109000E+007 400.000 5646.70 0.741575E-005 734.020 13.7194 7.57268 0.958178E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199897 0.196592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296915 0.059996 0.000000 0.246600
0.111000E+007 400.000 5665.29 0.732677E-005 731.685 13.7618 7.59156 0.993381E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200003 0.202721 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296899 0.053769 0.000000 0.246608
0.113000E+007 400.000 5685.09 0.725453E-005 729.459 13.7969 7.60588 0.102860E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200167 0.214124 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296969 0.042066 0.000000 0.246674
0.115000E+007 400.000 5704.75 0.718306E-005 727.243 13.8319 7.62017 0.106367E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200329 0.225228 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297038 0.030667 0.000000 0.246739
0.117000E+007 400.000 5724.33 0.711304E-005 725.034 13.8664 7.63432 0.109862E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200490 0.236340 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297110 0.019255 0.000000 0.246806
0.119000E+007 400.000 5743.69 0.704305E-005 722.826 13.9012 7.64870 0.113343E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200643 0.246943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297170 0.008376 0.000000 0.246868
0.121000E+007 400.000 5762.63 0.697016E-005 720.679 13.9364 7.66269 0.116812E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200789 0.255069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297226 0.000000 0.000000 0.246917
0.123000E+007 400.000 5779.92 0.688216E-005 718.601 13.9768 7.67853 0.120268E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200868 0.255059 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297173 0.000000 0.000000 0.246900
0.125000E+007 400.000 5797.10 0.679619E-005 716.544 14.0168 7.69418 0.123714E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200945 0.255050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297121 0.000000 0.000000 0.246884
0.127000E+007 400.000 5814.15 0.671216E-005 714.506 14.0564 7.70967 0.127150E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.201022 0.255040 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297071 0.000000 0.000000 0.246867
0.129000E+007 400.000 5831.09 0.663001E-005 712.489 14.0957 7.72497 0.130575E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.201097 0.255031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.297021 0.000000 0.000000 0.246851
0.131000E+007 400.000 5847.92 0.654970E-005 710.491 14.1347 7.74011 0.133991E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.201171 0.255022 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296973 0.000000 0.000000 0.246834
0.133000E+007 400.000 5864.64 0.647114E-005 708.514 14.1733 7.75508 0.137397E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.201244 0.255012 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296926 0.000000 0.000000 0.246818
0.135000E+007 400.000 5881.24 0.639429E-005 706.553 14.2115 7.76989 0.140794E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.201315 0.255003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296880 0.000000 0.000000 0.246802
10000.0 500.000 3490.88 0.237545E-004 1017.97 8.12384 4.67406 -0.124449E+008 0.000000 0.000000 0.000000 0.662011 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.195994 0.000000 0.000000 0.000000 0.059412 0.000000 0.000000 0.082583 0.000000
30000.0 500.000 3568.92 0.224961E-004 1013.18 8.44285 4.76471 -0.118859E+008 0.000000 0.000000 0.000000 0.649264 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.218572 0.000000 0.000000 0.056289 0.000000 0.000000 0.000000 0.075876 0.000000
50000.0 500.000 3631.76 0.204566E-004 1009.65 8.70914 4.87163 -0.113379E+008 0.000000 0.000000 0.000000 0.539790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.354128 0.000000 0.000000 0.079182 0.000000 0.000000 0.000000 0.026900 0.000000
70000.0 500.000 3785.99 0.197537E-004 999.583 9.13412 5.10689 -0.108119E+008 0.000000 0.000000 0.000000 0.493629 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.440254 0.066117 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
90000.0 500.000 3828.15 0.186666E-004 996.209 9.26491 5.14139 -0.102921E+008 0.000000 0.000000 0.000000 0.492423 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.441119 0.066459 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
110000. 500.000 3868.14 0.177027E-004 993.030 9.39165 5.17639 -0.977680E+007 0.000000 0.000000 0.000000 0.491408 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.441827 0.066765 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
130000. 500.000 4010.91 0.163252E-004 977.724 10.0150 5.59254 -0.929365E+007 0.000000 0.000000 0.000000 0.223781 0.000000 0.175215 0.000000 0.000000 0.000000 0.000000 0.469959 0.131045 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
150000. 500.000 4053.03 0.156552E-004 974.204 10.1291 5.63811 -0.879929E+007 0.000000 0.000000 0.000000 0.198984 0.000000 0.176506 0.000000 0.000000 0.000000 0.000000 0.492468 0.132042 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
170000. 500.000 4103.15 0.150295E-004 969.929 10.2661 5.70605 -0.831341E+007 0.000000 0.000000 0.000000 0.148992 0.000000 0.186599 0.000000 0.000000 0.000000 0.000000 0.528078 0.136331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
190000. 500.000 4151.22 0.144829E-004 965.989 10.3791 5.76390 -0.782968E+007 0.000000 0.000000 0.000000 0.096800 0.000000 0.186909 0.000000 0.000000 0.000000 0.000000 0.579240 0.137051 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
210000. 500.000 4224.01 0.141088E-004 960.060 10.5082 5.85242 -0.735595E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.153272 0.000000 0.000000 0.000000 0.022122 0.671990 0.152617 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
230000. 500.000 4601.66 0.164638E-004 948.282 11.2932 6.53431 -0.694325E+007 0.000000 0.000000 0.163916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.129247 0.000000 0.304425 0.000000 0.000000 0.000000 0.158845 0.000000 0.000000 0.243566
250000. 500.000 4631.19 0.160217E-004 945.478 11.3735 6.56758 -0.651341E+007 0.000000 0.000000 0.155047 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.131565 0.000000 0.308681 0.000000 0.000000 0.000000 0.161104 0.000000 0.000000 0.243602
270000. 500.000 4662.09 0.156590E-004 942.974 11.4424 6.59134 -0.608525E+007 0.000000 0.000000 0.127444 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.135588 0.000000 0.318954 0.000000 0.000000 0.000000 0.174280 0.000000 0.000000 0.243734
290000. 500.000 4716.11 0.159811E-004 944.906 11.5079 6.57212 -0.565854E+007 0.000000 0.000000 0.116401 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.028631 0.000000 0.186010 0.000000 0.000000 0.000000 0.182484 0.241385 0.000000 0.245089
310000. 500.000 4747.76 0.156919E-004 942.168 11.5845 6.60225 -0.524020E+007 0.000000 0.000000 0.107675 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.012315 0.000000 0.168501 0.000000 0.000000 0.000000 0.187003 0.279213 0.000000 0.245294
330000. 500.000 4778.08 0.154030E-004 939.409 11.6581 6.63254 -0.482443E+007 0.000000 0.000000 0.098200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.156384 0.000000 0.000000 0.000000 0.193106 0.306861 0.000000 0.245449
350000. 500.000 4805.43 0.150735E-004 936.681 11.7262 6.66139 -0.441008E+007 0.000000 0.000000 0.087190 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.159737 0.000000 0.000000 0.000000 0.200996 0.306605 0.000000 0.245472
370000. 500.000 4833.18 0.147409E-004 934.027 11.7888 6.69665 -0.399652E+007 0.000000 0.000000 0.062024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.172023 0.000000 0.000000 0.000000 0.231484 0.288936 0.000000 0.245533
390000. 500.000 4859.63 0.144297E-004 931.399 11.8545 6.72644 -0.358667E+007 0.000000 0.000000 0.052115 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.176082 0.000000 0.000000 0.000000 0.241155 0.285100 0.000000 0.245547
410000. 500.000 4885.78 0.141293E-004 928.823 11.9192 6.75693 -0.317888E+007 0.000000 0.000000 0.041707 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.180711 0.000000 0.000000 0.000000 0.252280 0.279739 0.000000 0.245563
430000. 500.000 4912.55 0.138646E-004 926.298 11.9797 6.78461 -0.277372E+007 0.000000 0.000000 0.024976 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186263 0.000000 0.000000 0.000000 0.265665 0.277470 0.000000 0.245627
450000. 500.000 4938.41 0.135806E-004 923.830 12.0407 6.81659 -0.236984E+007 0.000000 0.000000 0.010506 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.193726 0.000000 0.000000 0.000000 0.283908 0.266199 0.000000 0.245661
470000. 500.000 4963.80 0.133167E-004 921.393 12.1019 6.84643 -0.196849E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198407 0.000000 0.000000 0.000000 0.295151 0.260755 0.000000 0.245687
490000. 500.000 4987.88 0.130573E-004 918.971 12.1666 6.87603 -0.156924E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198596 0.000000 0.000000 0.000000 0.295207 0.260534 0.000000 0.245663
510000. 500.000 5011.65 0.128080E-004 916.588 12.2301 6.90471 -0.117182E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198737 0.000000 0.000000 0.000000 0.295152 0.260472 0.000000 0.245639
530000. 500.000 5035.12 0.125681E-004 914.241 12.2922 6.93234 -776216. 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198857 0.000000 0.000000 0.000000 0.295041 0.260488 0.000000 0.245615
