|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   10000.000000000000     
   20000.000000000000     
          68
T(K)    
   400.00000000000000     
   100.00000000000000     
          37
27
P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg vol_fraction_ky vol_fraction_CF vol_fraction_Aki vol_fraction_Ppv vol_fraction_Sp vol_fraction_ca_pv vol_fraction_Wad vol_fraction_Pv vol_fraction_q vol_fraction_C2_c vol_fraction_Cpx vol_fraction_Opx vol_fraction_st vol_fraction_Gt vol_fraction_Wus vol_fraction_Pl vol_fraction_Ring vol_fraction_O vol_fraction_neph
250000. 400.000 4455.07 0.149295E-004 878.267 11.4826 6.74172 -0.689426E+007 0.000000 0.018513 0.063617 0.000000 0.000000 0.071521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.382817 0.000000 0.463533 0.000000 0.000000 0.000000 0.000000
270000. 400.000 4484.39 0.144911E-004 874.599 11.5598 6.77403 -0.644938E+007 0.000000 0.019710 0.055686 0.000000 0.000000 0.071557 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.387246 0.000000 0.465801 0.000000 0.000000 0.000000 0.000000
290000. 400.000 4512.78 0.140634E-004 870.957 11.6374 6.80851 -0.600731E+007 0.000000 0.020327 0.053278 0.000000 0.000000 0.071584 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.388885 0.000000 0.465925 0.000000 0.000000 0.000000 0.000000
310000. 400.000 4610.79 0.156005E-004 883.980 11.6500 6.65581 -0.556592E+007 0.000000 0.022856 0.043701 0.000000 0.000000 0.072716 0.000000 0.692210 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.168517 0.000000 0.000000 0.000000 0.000000
330000. 400.000 4638.00 0.152281E-004 880.103 11.7176 6.67994 -0.513576E+007 0.000000 0.029126 0.037594 0.000000 0.000000 0.072730 0.000000 0.694160 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.166390 0.000000 0.000000 0.000000 0.000000
350000. 400.000 4664.31 0.148679E-004 876.173 11.7865 6.70520 -0.470847E+007 0.000000 0.029861 0.035097 0.000000 0.000000 0.072736 0.000000 0.696384 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.165922 0.000000 0.000000 0.000000 0.000000
370000. 400.000 4692.12 0.145508E-004 872.784 11.8442 6.72349 -0.428246E+007 0.000000 0.050909 0.019329 0.000000 0.000000 0.072772 0.000000 0.697551 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.159440 0.000000 0.000000 0.000000 0.000000
390000. 400.000 4717.37 0.142190E-004 868.933 11.9118 6.74870 -0.386006E+007 0.000000 0.049107 0.019031 0.000000 0.000000 0.072772 0.000000 0.699343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.159747 0.000000 0.000000 0.000000 0.000000
410000. 400.000 4745.04 0.139414E-004 865.756 11.9649 6.76444 -0.343910E+007 0.000000 0.073842 0.000000 0.000000 0.000000 0.072815 0.000000 0.701124 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152219 0.000000 0.000000 0.000000 0.000000
430000. 400.000 4769.55 0.136343E-004 862.078 12.0299 6.78903 -0.302101E+007 0.000000 0.073814 0.000000 0.000000 0.000000 0.072814 0.000000 0.701356 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152017 0.000000 0.000000 0.000000 0.000000
450000. 400.000 4793.75 0.133409E-004 858.459 12.0945 6.81420 -0.260501E+007 0.000000 0.073821 0.000000 0.000000 0.000000 0.072813 0.000000 0.701550 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151817 0.000000 0.000000 0.000000 0.000000
470000. 400.000 4817.62 0.130596E-004 854.895 12.1576 6.83825 -0.219107E+007 0.000000 0.073809 0.000000 0.000000 0.000000 0.072811 0.000000 0.701763 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151617 0.000000 0.000000 0.000000 0.000000
490000. 400.000 4841.19 0.127903E-004 851.399 12.2196 6.86187 -0.177908E+007 0.000000 0.073803 0.000000 0.000000 0.000000 0.072810 0.000000 0.701954 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151434 0.000000 0.000000 0.000000 0.000000
510000. 400.000 4864.45 0.125318E-004 847.956 12.2807 6.88509 -0.136904E+007 0.000000 0.073800 0.000000 0.000000 0.000000 0.072808 0.000000 0.702137 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151256 0.000000 0.000000 0.000000 0.000000
530000. 400.000 4887.44 0.122836E-004 844.565 12.3409 6.90797 -960917. 0.000000 0.073801 0.000000 0.000000 0.000000 0.072806 0.000000 0.702315 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151079 0.000000 0.000000 0.000000 0.000000
550000. 400.000 4910.15 0.120450E-004 841.220 12.4002 6.93052 -554677. 0.000000 0.073806 0.000000 0.000000 0.000000 0.072804 0.000000 0.702489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150902 0.000000 0.000000 0.000000 0.000000
570000. 400.000 4932.60 0.118156E-004 837.933 12.4586 6.95267 -150243. 0.000000 0.073814 0.000000 0.000000 0.000000 0.072801 0.000000 0.702647 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150738 0.000000 0.000000 0.000000 0.000000
590000. 400.000 4954.79 0.115947E-004 834.694 12.5161 6.97434 252406. 0.000000 0.073822 0.000000 0.000000 0.000000 0.072799 0.000000 0.702800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150580 0.000000 0.000000 0.000000 0.000000
610000. 400.000 4976.73 0.113819E-004 831.494 12.5730 6.99598 653260. 0.000000 0.073841 0.000000 0.000000 0.000000 0.072797 0.000000 0.702947 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150416 0.000000 0.000000 0.000000 0.000000
630000. 400.000 4998.44 0.111767E-004 828.343 12.6290 7.01714 0.105240E+007 0.000000 0.073858 0.000000 0.000000 0.000000 0.072794 0.000000 0.703088 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150260 0.000000 0.000000 0.000000 0.000000
650000. 400.000 5019.91 0.109789E-004 825.240 12.6841 7.03796 0.144987E+007 0.000000 0.073879 0.000000 0.000000 0.000000 0.072791 0.000000 0.703215 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150114 0.000000 0.000000 0.000000 0.000000
670000. 400.000 5041.15 0.107878E-004 822.174 12.7386 7.05849 0.184566E+007 0.000000 0.073903 0.000000 0.000000 0.000000 0.072789 0.000000 0.703343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149966 0.000000 0.000000 0.000000 0.000000
690000. 400.000 5062.18 0.106032E-004 819.147 12.7924 7.07872 0.223980E+007 0.000000 0.073928 0.000000 0.000000 0.000000 0.072786 0.000000 0.703468 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149818 0.000000 0.000000 0.000000 0.000000
710000. 400.000 5082.99 0.104248E-004 816.166 12.8454 7.09866 0.263237E+007 0.000000 0.073958 0.000000 0.000000 0.000000 0.072783 0.000000 0.703578 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149682 0.000000 0.000000 0.000000 0.000000
730000. 400.000 5103.59 0.102523E-004 813.223 12.8978 7.11828 0.302336E+007 0.000000 0.073989 0.000000 0.000000 0.000000 0.072780 0.000000 0.703683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149548 0.000000 0.000000 0.000000 0.000000
750000. 400.000 5124.00 0.100852E-004 810.311 12.9495 7.13768 0.341278E+007 0.000000 0.074023 0.000000 0.000000 0.000000 0.072777 0.000000 0.703790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149410 0.000000 0.000000 0.000000 0.000000
770000. 400.000 5144.21 0.992349E-005 807.439 13.0005 7.15675 0.380068E+007 0.000000 0.074058 0.000000 0.000000 0.000000 0.072775 0.000000 0.703889 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149278 0.000000 0.000000 0.000000 0.000000
790000. 400.000 5164.23 0.976685E-005 804.608 13.0509 7.17552 0.418711E+007 0.000000 0.074095 0.000000 0.000000 0.000000 0.072772 0.000000 0.703978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149156 0.000000 0.000000 0.000000 0.000000
810000. 400.000 5184.06 0.961491E-005 801.804 13.1007 7.19400 0.457205E+007 0.000000 0.074132 0.000000 0.000000 0.000000 0.072769 0.000000 0.704071 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149028 0.000000 0.000000 0.000000 0.000000
830000. 400.000 5203.71 0.946750E-005 799.031 13.1498 7.21218 0.495553E+007 0.000000 0.074169 0.000000 0.000000 0.000000 0.072766 0.000000 0.704165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148901 0.000000 0.000000 0.000000 0.000000
850000. 400.000 5223.18 0.932453E-005 796.301 13.1983 7.22996 0.533762E+007 0.000000 0.074204 0.000000 0.000000 0.000000 0.072763 0.000000 0.704249 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148785 0.000000 0.000000 0.000000 0.000000
870000. 400.000 5242.47 0.918572E-005 793.601 13.2462 7.24744 0.571832E+007 0.000000 0.074238 0.000000 0.000000 0.000000 0.072760 0.000000 0.704331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148671 0.000000 0.000000 0.000000 0.000000
890000. 400.000 5261.59 0.905078E-005 790.925 13.2935 7.26460 0.609761E+007 0.000000 0.074271 0.000000 0.000000 0.000000 0.072756 0.000000 0.704422 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148551 0.000000 0.000000 0.000000 0.000000
910000. 400.000 5280.55 0.891974E-005 788.283 13.3403 7.28162 0.647556E+007 0.000000 0.074308 0.000000 0.000000 0.000000 0.072753 0.000000 0.704500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148438 0.000000 0.000000 0.000000 0.000000
930000. 400.000 5299.34 0.879233E-005 785.673 13.3865 7.29820 0.685218E+007 0.000000 0.074341 0.000000 0.000000 0.000000 0.072750 0.000000 0.704580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148329 0.000000 0.000000 0.000000 0.000000
950000. 400.000 5335.72 0.906810E-005 779.256 13.3857 7.33085 0.722374E+007 0.000000 0.074706 0.000000 0.195824 0.000000 0.072989 0.000000 0.507672 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148809 0.000000 0.000000 0.000000 0.000000
970000. 400.000 5382.83 0.955275E-005 770.270 13.3632 7.37934 0.758814E+007 0.000000 0.075311 0.000000 0.503527 0.000000 0.073375 0.000000 0.198201 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149586 0.000000 0.000000 0.000000 0.000000
990000. 400.000 5399.39 0.936566E-005 768.020 13.4144 7.39448 0.795907E+007 0.000000 0.075258 0.000000 0.478173 0.000000 0.073346 0.000000 0.223662 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149561 0.000000 0.000000 0.000000 0.000000
0.101000E+007 400.000 5427.64 0.942331E-005 763.089 13.4396 7.42528 0.832390E+007 0.000000 0.075456 0.000000 0.577960 0.000000 0.073476 0.000000 0.123232 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149874 0.000000 0.000000 0.000000 0.000000
0.103000E+007 400.000 5455.56 0.954389E-005 760.950 13.4744 7.45781 0.869133E+007 0.000000 0.075561 0.000000 0.696598 0.000000 0.073604 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154237 0.000000 0.000000 0.000000 0.000000
0.105000E+007 400.000 5474.24 0.940695E-005 757.985 13.5218 7.47938 0.905513E+007 0.000000 0.075586 0.000000 0.696629 0.000000 0.073608 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154177 0.000000 0.000000 0.000000 0.000000
0.107000E+007 400.000 5493.00 0.927435E-005 755.007 13.5658 7.49821 0.941866E+007 0.000000 0.075591 0.000000 0.696791 0.000000 0.073615 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154003 0.000000 0.000000 0.000000 0.000000
0.109000E+007 400.000 5511.38 0.914466E-005 752.123 13.6108 7.51753 0.978081E+007 0.000000 0.075587 0.000000 0.696846 0.000000 0.073619 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153948 0.000000 0.000000 0.000000 0.000000
0.111000E+007 400.000 5529.95 0.901892E-005 749.190 13.6533 7.53548 0.101420E+008 0.000000 0.075593 0.000000 0.697042 0.000000 0.073627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153738 0.000000 0.000000 0.000000 0.000000
0.113000E+007 400.000 5548.68 0.889704E-005 746.213 13.6931 7.55175 0.105021E+008 0.000000 0.075602 0.000000 0.697380 0.000000 0.073639 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153379 0.000000 0.000000 0.000000 0.000000
0.115000E+007 400.000 5566.67 0.877682E-005 743.416 13.7366 7.57027 0.108607E+008 0.000000 0.075599 0.000000 0.697433 0.000000 0.073642 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153326 0.000000 0.000000 0.000000 0.000000
0.117000E+007 400.000 5585.41 0.866144E-005 740.441 13.7737 7.58475 0.112186E+008 0.000000 0.075609 0.000000 0.697878 0.000000 0.073657 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152855 0.000000 0.000000 0.000000 0.000000
0.119000E+007 400.000 5603.15 0.854698E-005 737.697 13.8162 7.60273 0.115748E+008 0.000000 0.075606 0.000000 0.697931 0.000000 0.073661 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152802 0.000000 0.000000 0.000000 0.000000
0.121000E+007 400.000 5622.16 0.843817E-005 734.665 13.8487 7.61424 0.119305E+008 0.000000 0.075624 0.000000 0.698595 0.000000 0.073682 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152099 0.000000 0.000000 0.000000 0.000000
0.123000E+007 400.000 5641.32 0.833251E-005 731.607 13.8780 7.62328 0.122855E+008 0.000000 0.075640 0.000000 0.699369 0.000000 0.073707 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151284 0.000000 0.000000 0.000000 0.000000
0.125000E+007 400.000 5661.45 0.823141E-005 728.339 13.9004 7.62804 0.126389E+008 0.000000 0.075676 0.000000 0.700585 0.000000 0.073746 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149992 0.000000 0.000000 0.000000 0.000000
0.127000E+007 400.000 5679.14 0.812795E-005 725.615 13.9390 7.64367 0.129899E+008 0.000000 0.075681 0.000000 0.700789 0.000000 0.073755 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149775 0.000000 0.000000 0.000000 0.000000
0.129000E+007 400.000 5697.14 0.802769E-005 722.825 13.9736 7.65637 0.133404E+008 0.000000 0.075690 0.000000 0.701171 0.000000 0.073769 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149370 0.000000 0.000000 0.000000 0.000000
0.131000E+007 400.000 5714.63 0.792891E-005 720.149 14.0108 7.67094 0.136895E+008 0.000000 0.075694 0.000000 0.701384 0.000000 0.073777 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149144 0.000000 0.000000 0.000000 0.000000
0.133000E+007 400.000 5731.83 0.783198E-005 717.536 14.0488 7.68596 0.140377E+008 0.000000 0.075696 0.000000 0.701517 0.000000 0.073783 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149004 0.000000 0.000000 0.000000 0.000000
0.135000E+007 400.000 5748.89 0.773713E-005 714.954 14.0865 7.70086 0.143849E+008 0.000000 0.075697 0.000000 0.701639 0.000000 0.073789 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.148875 0.000000 0.000000 0.000000 0.000000
10000.0 500.000 3371.22 0.265748E-004 1057.57 8.22741 4.74030 -0.129443E+008 0.056732 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.175168 0.135424 0.000000 0.000000 0.000000 0.000000 0.000000 0.632676 0.000000
30000.0 500.000 3451.54 0.240609E-004 1054.34 8.49964 4.84231 -0.123668E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.163071 0.107800 0.000000 0.149425 0.000000 0.000000 0.000000 0.579703 0.000000
50000.0 500.000 3510.14 0.232913E-004 1050.14 8.69307 4.92689 -0.118011E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100684 0.168184 0.000000 0.000000 0.150215 0.000000 0.000000 0.000000 0.580917 0.000000
70000.0 500.000 3556.12 0.217017E-004 1045.81 8.83936 4.97197 -0.112414E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100632 0.168024 0.000000 0.000000 0.150629 0.000000 0.000000 0.000000 0.580715 0.000000
90000.0 500.000 3608.65 0.203867E-004 1041.29 9.02571 5.04951 -0.106928E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.119374 0.148294 0.000000 0.000000 0.152119 0.000000 0.000000 0.024469 0.555744 0.000000
110000. 500.000 3782.60 0.194027E-004 1030.59 9.68143 5.42568 -0.101624E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.346160 0.000000 0.000000 0.138103 0.137480 0.000000 0.000000 0.158127 0.000000 0.000000 0.220131 0.000000 0.000000
130000. 500.000 3941.59 0.164023E-004 1012.23 10.3023 5.82136 -0.966896E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.024940 0.000000 0.059904 0.172253 0.000000 0.000000 0.742903 0.000000 0.000000
150000. 500.000 3976.04 0.156908E-004 1009.01 10.3988 5.85226 -0.916743E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.019883 0.000000 0.060046 0.177132 0.000000 0.000000 0.742939 0.000000 0.000000
170000. 500.000 4010.02 0.150349E-004 1005.88 10.4939 5.88291 -0.867068E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.014413 0.000000 0.060496 0.181236 0.000000 0.000000 0.743855 0.000000 0.000000
190000. 500.000 4045.52 0.144372E-004 1002.71 10.5889 5.91644 -0.817740E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.060948 0.193737 0.000000 0.000000 0.745315 0.000000 0.000000
210000. 500.000 4107.50 0.141634E-004 997.536 10.7838 6.02997 -0.769478E+007 0.000000 0.000000 0.034461 0.000000 0.000000 0.029790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.068973 0.095193 0.000000 0.000000 0.771583 0.000000 0.000000
230000. 500.000 4418.57 0.171444E-004 981.044 11.3589 6.66568 -0.724360E+007 0.000000 0.019314 0.064857 0.000000 0.000000 0.071534 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.381048 0.000000 0.463247 0.000000 0.000000 0.000000 0.000000
250000. 500.000 4448.55 0.166350E-004 977.982 11.4352 6.69519 -0.679389E+007 0.000000 0.020978 0.057652 0.000000 0.000000 0.071571 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.384938 0.000000 0.464860 0.000000 0.000000 0.000000 0.000000
270000. 500.000 4477.40 0.161363E-004 974.943 11.5168 6.73253 -0.634943E+007 0.000000 0.020960 0.057697 0.000000 0.000000 0.071597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.385520 0.000000 0.464227 0.000000 0.000000 0.000000 0.000000
290000. 500.000 4539.53 0.167005E-004 979.162 11.5792 6.69755 -0.590825E+007 0.000000 0.022676 0.050457 0.000000 0.000000 0.072157 0.000000 0.331972 0.000000 0.000000 0.000000 0.000000 0.201360 0.000000 0.321378 0.000000 0.000000 0.000000 0.000000
310000. 500.000 4603.57 0.174573E-004 985.026 11.6206 6.62778 -0.547018E+007 0.000000 0.027122 0.040569 0.000000 0.000000 0.072748 0.000000 0.691914 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.167647 0.000000 0.000000 0.000000 0.000000
330000. 500.000 4630.47 0.170491E-004 981.878 11.6911 6.65455 -0.504084E+007 0.000000 0.030857 0.037490 0.000000 0.000000 0.072755 0.000000 0.692682 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.166216 0.000000 0.000000 0.000000 0.000000
350000. 500.000 4658.65 0.166923E-004 979.087 11.7520 6.67451 -0.461287E+007 0.000000 0.049465 0.022592 0.000000 0.000000 0.072788 0.000000 0.694722 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.160433 0.000000 0.000000 0.000000 0.000000
370000. 500.000 4684.95 0.163316E-004 976.040 11.8195 6.69934 -0.418861E+007 0.000000 0.051624 0.018608 0.000000 0.000000 0.072797 0.000000 0.697451 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.159520 0.000000 0.000000 0.000000 0.000000
390000. 500.000 4711.62 0.160011E-004 973.292 11.8808 6.71973 -0.376550E+007 0.000000 0.062142 0.009294 0.000000 0.000000 0.072817 0.000000 0.699443 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.156305 0.000000 0.000000 0.000000 0.000000
410000. 500.000 4737.96 0.156825E-004 970.531 11.9415 6.74083 -0.334536E+007 0.000000 0.073516 0.000000 0.000000 0.000000 0.072837 0.000000 0.700926 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152721 0.000000 0.000000 0.000000 0.000000
430000. 500.000 4762.59 0.153552E-004 967.613 12.0075 6.76656 -0.292763E+007 0.000000 0.073496 0.000000 0.000000 0.000000 0.072835 0.000000 0.701159 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152510 0.000000 0.000000 0.000000 0.000000
450000. 500.000 4786.90 0.150414E-004 964.729 12.0725 6.79214 -0.251224E+007 0.000000 0.073782 0.000000 0.000000 0.000000 0.072834 0.000000 0.701200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.152185 0.000000 0.000000 0.000000 0.000000
470000. 500.000 4810.87 0.147400E-004 961.866 12.1363 6.81691 -0.209887E+007 0.000000 0.073779 0.000000 0.000000 0.000000 0.072832 0.000000 0.701483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151906 0.000000 0.000000 0.000000 0.000000
490000. 500.000 4834.51 0.144532E-004 959.117 12.1986 6.84045 -0.168700E+007 0.000000 0.073640 0.000000 0.000000 0.000000 0.072829 0.000000 0.701730 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151800 0.000000 0.000000 0.000000 0.000000
510000. 500.000 4857.86 0.141773E-004 956.396 12.2599 6.86351 -0.127718E+007 0.000000 0.073536 0.000000 0.000000 0.000000 0.072827 0.000000 0.701978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151659 0.000000 0.000000 0.000000 0.000000
530000. 500.000 4880.94 0.139122E-004 953.700 12.3207 6.88704 -869447. 0.000000 0.073613 0.000000 0.000000 0.000000 0.072825 0.000000 0.702116 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151447 0.000000 0.000000 0.000000 0.000000
