# This is a data output from.
# Independent variables are entropy and pressure.
# POINTS: 56 200
s,J/K/kg            P(bar)              T(K)                rho,kg/m3           alpha,1/K           cp,J/K/kg           vp,km/s             vs,km/s             h,J/kg              
2.45000000e+03      2.50000000e-01      1.49811992e+03      3.14716173e+03      3.96032933e-05      3.89912718e+06      7.28858510e+00      4.16343388e+00      -1.20210463e+07    
2.50000000e+03      2.50000000e-01      1.55751674e+03      3.14340107e+03      4.09079266e-05      3.91631563e+06      7.24449031e+00      4.14484112e+00      -1.19446199e+07    
2.55000000e+03      2.50000000e-01      1.61975518e+03      3.13760781e+03      4.22682249e-05      3.93247502e+06      7.19681851e+00      4.12263733e+00      -1.18651414e+07    
2.60000000e+03      2.50000000e-01      1.68497191e+03      3.12861343e+03      4.36446083e-05      3.94594404e+06      7.14260377e+00      4.09375035e+00      -1.17825261e+07    
2.65000000e+03      2.50000000e-01      1.75095389e+03      3.12256489e+03      4.54718251e-05      3.96693948e+06      7.08688320e+00      4.07050432e+00      -1.16966602e+07    
2.70000000e+03      2.50000000e-01      1.81860312e+03      3.11699637e+03      4.76767223e-05      3.99267701e+06      7.02758281e+00      4.04843339e+00      -1.16074025e+07    
2.75000000e+03      2.50000000e-01      1.88713299e+03      3.11367201e+03      5.04944161e-05      4.02748317e+06      6.96610012e+00      4.03153401e+00      -1.15146999e+07    
2.80000000e+03      2.50000000e-01      1.95732854e+03      3.10712639e+03      5.41822254e-05      4.06694247e+06      6.88057410e+00      4.00695707e+00      -1.14185574e+07    
2.85000000e+03      2.50000000e-01      2.02957749e+03      3.10417474e+03      5.80379034e-05      4.11679547e+06      6.82367031e+00      3.99460030e+00      -1.13189880e+07    
2.90000000e+03      2.50000000e-01      2.10348969e+03      3.09237561e+03      6.40720629e-05      4.17687716e+06      6.70859205e+00      3.96114382e+00      -1.12155661e+07    
2.95000000e+03      2.50000000e-01      2.17800590e+03      3.07953781e+03      7.28801198e-05      4.26691211e+06      6.57866778e+00      3.92858052e+00      -1.11085869e+07    
3.00000000e+03      2.50000000e-01      2.25331778e+03      3.05783659e+03      8.96131130e-05      4.43356683e+06      6.39040658e+00      3.88117731e+00      -1.09978487e+07    
3.05000000e+03      2.50000000e-01      2.35051426e+03      3.09388969e+03      5.46730760e-05      4.18444583e+06      6.99084328e+00      3.92695307e+00      -1.08791561e+07    
3.10000000e+03      2.50000000e-01      2.43845253e+03      3.07869272e+03      5.72785875e-05      4.22060688e+06      6.91540439e+00      3.88008273e+00      -1.07594710e+07    
3.15000000e+03      2.50000000e-01      2.52831003e+03      3.06244516e+03      6.05021719e-05      4.26702013e+06      6.83222725e+00      3.83006106e+00      -1.06353137e+07    
3.20000000e+03      2.50000000e-01      2.61976691e+03      3.04495484e+03      6.47593173e-05      4.33097777e+06      6.73780680e+00      3.77633107e+00      -1.05065834e+07    
3.25000000e+03      2.50000000e-01      2.71219232e+03      3.02593617e+03      7.12668531e-05      4.43401846e+06      6.62246964e+00      3.71776932e+00      -1.03733380e+07    
3.30000000e+03      2.50000000e-01      2.80362204e+03      3.00434763e+03      9.04068934e-05      4.76290483e+06      6.42099687e+00      3.65045711e+00      -1.02353798e+07    
5.50000000e+02      7.53794000e+03      2.65092536e+02      3.38920424e+03      1.93403578e-05      2.64595558e+06      8.32469411e+00      4.82055800e+00      -1.32114130e+07    
6.00000000e+02      7.53794000e+03      2.81974182e+02      3.38712645e+03      2.02949984e-05      2.76923872e+06      8.31509623e+00      4.81393587e+00      -1.31978426e+07    
6.50000000e+02      7.53794000e+03      2.99503925e+02      3.38571953e+03      2.11541253e-05      2.88087091e+06      8.30685217e+00      4.80909804e+00      -1.31831975e+07    
7.00000000e+02      7.53794000e+03      3.17182749e+02      3.38453319e+03      2.19482473e-05      2.98103714e+06      8.30106838e+00      4.80480048e+00      -1.31677445e+07    
7.50000000e+02      7.53794000e+03      3.35233825e+02      3.38323975e+03      2.26810172e-05      3.07215653e+06      8.29465195e+00      4.80018852e+00      -1.31514452e+07    
8.00000000e+02      7.53794000e+03      3.53833280e+02      3.38180538e+03      2.33614387e-05      3.15547606e+06      8.28721935e+00      4.79513661e+00      -1.31342611e+07    
8.50000000e+02      7.53794000e+03      3.73024935e+02      3.38027678e+03      2.39961690e-05      3.23156493e+06      8.27915801e+00      4.78974000e+00      -1.31161232e+07    
9.00000000e+02      7.53794000e+03      3.92732657e+02      3.37866496e+03      2.45864884e-05      3.30062446e+06      8.27058523e+00      4.78403751e+00      -1.30969769e+07    
9.50000000e+02      7.53794000e+03      4.13017252e+02      3.37700204e+03      2.51401542e-05      3.36344558e+06      8.26191207e+00      4.77813350e+00      -1.30768753e+07    
1.00000000e+03      7.53794000e+03      4.33898676e+02      3.37518236e+03      2.56543284e-05      3.42050768e+06      8.25244340e+00      4.77182207e+00      -1.30556736e+07    
1.05000000e+03      7.53794000e+03      4.55546241e+02      3.37330404e+03      2.61453718e-05      3.47276270e+06      8.24239601e+00      4.76515971e+00      -1.30334538e+07    
1.10000000e+03      7.53794000e+03      4.77875070e+02      3.37131656e+03      2.66092574e-05      3.52038737e+06      8.23190315e+00      4.75818296e+00      -1.30101432e+07    
1.15000000e+03      7.53794000e+03      5.01112236e+02      3.36921627e+03      2.70540871e-05      3.56419775e+06      8.22081737e+00      4.75082563e+00      -1.29856504e+07    
1.20000000e+03      7.53794000e+03      5.25200133e+02      3.36700513e+03      2.74811806e-05      3.60437948e+06      8.20918904e+00      4.74309979e+00      -1.29600106e+07    
1.25000000e+03      7.53794000e+03      5.50128673e+02      3.36467620e+03      2.78927564e-05      3.64123382e+06      8.19700489e+00      4.73500638e+00      -1.29331496e+07    
1.30000000e+03      7.53794000e+03      5.75930487e+02      3.36223770e+03      2.82915997e-05      3.67508568e+06      8.18418143e+00      4.72650350e+00      -1.29050106e+07    
1.35000000e+03      7.53794000e+03      6.02708537e+02      3.35966478e+03      2.86800207e-05      3.70612598e+06      8.17064563e+00      4.71757053e+00      -1.28756023e+07    
1.40000000e+03      7.53794000e+03      6.30522604e+02      3.35695472e+03      2.90597779e-05      3.73444659e+06      8.15634733e+00      4.70815576e+00      -1.28447159e+07    
1.45000000e+03      7.53794000e+03      6.59303888e+02      3.35410186e+03      2.94342469e-05      3.76060616e+06      8.14132178e+00      4.69830170e+00      -1.28124922e+07    
1.50000000e+03      7.53794000e+03      6.89159824e+02      3.35111152e+03      2.98053062e-05      3.78468620e+06      8.12550234e+00      4.68795666e+00      -1.27788456e+07    
1.55000000e+03      7.53794000e+03      7.20156939e+02      3.34794857e+03      3.01749057e-05      3.80674642e+06      8.10873080e+00      4.67705665e+00      -1.27435530e+07    
1.60000000e+03      7.53794000e+03      7.51708964e+02      3.34391035e+03      3.05226949e-05      3.82602925e+06      8.08700931e+00      4.66380972e+00      -1.27068396e+07    
1.65000000e+03      7.53794000e+03      7.79051209e+02      3.33210552e+03      3.06308266e-05      3.83163714e+06      8.02116200e+00      4.63052348e+00      -1.26687801e+07    
1.70000000e+03      7.53794000e+03      8.13166351e+02      3.32854449e+03      3.10304083e-05      3.84896359e+06      8.00033674e+00      4.61830967e+00      -1.26290392e+07    
1.75000000e+03      7.53794000e+03      8.48705083e+02      3.32478299e+03      3.14413606e-05      3.86497584e+06      7.97842443e+00      4.60549283e+00      -1.25874173e+07    
1.80000000e+03      7.53794000e+03      8.85517894e+02      3.32082933e+03      3.18643720e-05      3.87989018e+06      7.95538909e+00      4.59208217e+00      -1.25440772e+07    
1.85000000e+03      7.53794000e+03      9.23527635e+02      3.31666923e+03      3.23029961e-05      3.89374496e+06      7.93089068e+00      4.57798560e+00      -1.24989084e+07    
1.90000000e+03      7.53794000e+03      9.63044500e+02      3.31229799e+03      3.27589688e-05      3.90673711e+06      7.90525725e+00      4.56323698e+00      -1.24517856e+07    
1.95000000e+03      7.53794000e+03      1.00407253e+03      3.30768902e+03      3.32361145e-05      3.91891239e+06      7.87821701e+00      4.54773474e+00      -1.24025991e+07    
2.00000000e+03      7.53794000e+03      1.04657212e+03      3.30282584e+03      3.37367016e-05      3.93040603e+06      7.84969594e+00      4.53145806e+00      -1.23513497e+07    
2.05000000e+03      7.53794000e+03      1.09056581e+03      3.29770437e+03      3.42641150e-05      3.94128675e+06      7.81958847e+00      4.51434772e+00      -1.22979635e+07    
2.10000000e+03      7.53794000e+03      1.13615491e+03      3.29229447e+03      3.48219994e-05      3.95163460e+06      7.78773625e+00      4.49630783e+00      -1.22422962e+07    
2.15000000e+03      7.53794000e+03      1.18331198e+03      3.28657976e+03      3.54142690e-05      3.96155242e+06      7.75404879e+00      4.47729810e+00      -1.21842310e+07    
2.20000000e+03      7.53794000e+03      1.23192151e+03      3.28051552e+03      3.60447669e-05      3.97108264e+06      7.71819890e+00      4.45714208e+00      -1.21238936e+07    
2.25000000e+03      7.53794000e+03      1.28278043e+03      3.27421038e+03      3.67140918e-05      3.98062213e+06      7.68148206e+00      4.43638764e+00      -1.20611094e+07    
2.30000000e+03      7.53794000e+03      1.33452319e+03      3.26737993e+03      3.74355173e-05      3.98963673e+06      7.64104904e+00      4.41367702e+00      -1.19956467e+07    
2.35000000e+03      7.53794000e+03      1.38876619e+03      3.26030016e+03      3.82071958e-05      3.99897441e+06      7.59994100e+00      4.39050207e+00      -1.19275948e+07    
2.40000000e+03      7.53794000e+03      1.44415293e+03      3.25268249e+03      3.90397571e-05      4.00811902e+06      7.55572334e+00      4.36544174e+00      -1.18568517e+07    
2.45000000e+03      7.53794000e+03      1.50216381e+03      3.24476935e+03      3.99403011e-05      4.01785752e+06      7.51062864e+00      4.33989343e+00      -1.17832121e+07    
2.50000000e+03      7.53794000e+03      1.56167887e+03      3.23634606e+03      4.09123608e-05      4.02783544e+06      7.46329872e+00      4.31280639e+00      -1.17066835e+07    
2.55000000e+03      7.53794000e+03      1.62388405e+03      3.22756132e+03      4.19765760e-05      4.03872661e+06      7.41455988e+00      4.28506802e+00      -1.16270566e+07    
2.60000000e+03      7.53794000e+03      1.68826821e+03      3.21829128e+03      4.31432239e-05      4.05049538e+06      7.36369983e+00      4.25612120e+00      -1.15442496e+07    
2.65000000e+03      7.53794000e+03      1.75415168e+03      3.20841825e+03      4.43991315e-05      4.06301971e+06      7.31138847e+00      4.22550707e+00      -1.14582375e+07    
2.70000000e+03      7.53794000e+03      1.82352370e+03      3.19823418e+03      4.57913152e-05      4.07750344e+06      7.25861589e+00      4.19463960e+00      -1.13688094e+07    
2.75000000e+03      7.53794000e+03      1.89519552e+03      3.18747463e+03      4.73462955e-05      4.09382149e+06      7.20333687e+00      4.16245612e+00      -1.12758537e+07    
2.80000000e+03      7.53794000e+03      1.96913242e+03      3.17608491e+03      4.91020419e-05      4.11248858e+06      7.14518361e+00      4.12882885e+00      -1.11792179e+07    
2.85000000e+03      7.53794000e+03      2.04505040e+03      3.16376362e+03      5.11962625e-05      4.13440892e+06      7.07947935e+00      4.09250174e+00      -1.10789191e+07    
2.90000000e+03      7.53794000e+03      2.12367671e+03      3.14953658e+03      5.44810268e-05      4.16553228e+06      6.98097174e+00      4.05082812e+00      -1.09747107e+07    
2.95000000e+03      7.53794000e+03      2.20403435e+03      3.13487852e+03      5.80985611e-05      4.20308305e+06      6.89176804e+00      4.00985213e+00      -1.08664992e+07    
3.00000000e+03      7.53794000e+03      2.28644841e+03      3.12060024e+03      6.16602819e-05      4.24589404e+06      6.82587451e+00      3.97133983e+00      -1.07542314e+07    
3.05000000e+03      7.53794000e+03      2.37047459e+03      3.10305915e+03      6.90331795e-05      4.32635915e+06      6.70623055e+00      3.92631003e+00      -1.06379002e+07    
3.10000000e+03      7.53794000e+03      2.53460111e+03      2.77084552e+03      5.29729473e-05      3.80369763e+06      7.82465755e+00      4.24812088e+00      -1.02230131e+07    
3.15000000e+03      7.53794000e+03      2.55456306e+03      3.08966673e+03      5.63177299e-05      4.25049830e+06      6.92990972e+00      3.86118843e+00      -1.03902709e+07    
3.20000000e+03      7.53794000e+03      2.64833966e+03      3.07294032e+03      5.95757959e-05      4.29884221e+06      6.84369032e+00      3.80902758e+00      -1.02601802e+07    
3.25000000e+03      7.53794000e+03      2.74371500e+03      3.05492607e+03      6.39291295e-05      4.36636884e+06      6.74525972e+00      3.75288999e+00      -1.01253950e+07    
3.30000000e+03      7.53794000e+03      2.83995559e+03      3.03528379e+03      7.07914295e-05      4.47850099e+06      6.62280710e+00      3.69160884e+00      -9.98581620e+06    
5.50000000e+02      1.50756300e+04      2.69252250e+02      3.42750281e+03      1.88313684e-05      2.70199522e+06      8.46274957e+00      4.89043361e+00      -1.29901009e+07    
6.00000000e+02      1.50756300e+04      2.85961163e+02      3.42473326e+03      1.97170175e-05      2.82102350e+06      8.44951126e+00      4.88031391e+00      -1.29762462e+07    
6.50000000e+02      1.50756300e+04      3.03133467e+02      3.42183709e+03      2.05399260e-05      2.92970709e+06      8.43689050e+00      4.87147567e+00      -1.29616286e+07    
7.00000000e+02      1.50756300e+04      3.20413242e+02      3.41676029e+03      2.12745212e-05      3.02157610e+06      8.41565877e+00      4.85672375e+00      -1.29459764e+07    
7.50000000e+02      1.50756300e+04      3.38147920e+02      3.41223078e+03      2.19513539e-05      3.10599057e+06      8.39575712e+00      4.84313218e+00      -1.29294442e+07    
8.00000000e+02      1.50756300e+04      3.56386211e+02      3.40714304e+03      2.25882990e-05      3.18247194e+06      8.37376362e+00      4.82811243e+00      -1.29120625e+07    
8.50000000e+02      1.50756300e+04      3.75302721e+02      3.40247415e+03      2.31908532e-05      3.25318823e+06      8.35359628e+00      4.81443007e+00      -1.28937797e+07    
9.00000000e+02      1.50756300e+04      3.94979028e+02      3.39919831e+03      2.37577478e-05      3.31981835e+06      8.33875952e+00      4.80454083e+00      -1.28745293e+07    
9.50000000e+02      1.50756300e+04      4.15298710e+02      3.39679597e+03      2.42874609e-05      3.38166424e+06      8.32713014e+00      4.79676781e+00      -1.28542913e+07    
1.00000000e+03      1.50756300e+04      4.36312754e+02      3.39503214e+03      2.47821318e-05      3.43903856e+06      8.31792241e+00      4.79051410e+00      -1.28330036e+07    
1.05000000e+03      1.50756300e+04      4.58090458e+02      3.39317915e+03      2.52509628e-05      3.49154552e+06      8.30813478e+00      4.78390464e+00      -1.28106326e+07    
1.10000000e+03      1.50756300e+04      4.80559345e+02      3.39124578e+03      2.56958057e-05      3.53943218e+06      8.29776841e+00      4.77694450e+00      -1.27872212e+07    
1.15000000e+03      1.50756300e+04      5.03930857e+02      3.38919206e+03      2.61207580e-05      3.58346872e+06      8.28691494e+00      4.76963407e+00      -1.27625606e+07    
1.20000000e+03      1.50756300e+04      5.28157111e+02      3.38703135e+03      2.65281386e-05      3.62385818e+06      8.27551876e+00      4.76195737e+00      -1.27367465e+07    
1.25000000e+03      1.50756300e+04      5.53229242e+02      3.38476089e+03      2.69199458e-05      3.66090150e+06      8.26354563e+00      4.75389451e+00      -1.27097642e+07    
1.30000000e+03      1.50756300e+04      5.79175201e+02      3.38237889e+03      2.72987962e-05      3.69491709e+06      8.25097538e+00      4.74544791e+00      -1.26815604e+07    
1.35000000e+03      1.50756300e+04      6.06138532e+02      3.38044597e+03      2.76598093e-05      3.72653847e+06      8.23957520e+00      4.73733693e+00      -1.26518539e+07    
1.40000000e+03      1.50756300e+04      6.33643889e+02      3.38216949e+03      2.79688694e-05      3.76009837e+06      8.23983217e+00      4.73381440e+00      -1.26208611e+07    
1.45000000e+03      1.50756300e+04      6.60838202e+02      3.39209579e+03      2.81567521e-05      3.80089054e+06      8.26555737e+00      4.73873035e+00      -1.25886265e+07    
1.50000000e+03      1.50756300e+04      6.88993634e+02      3.40023309e+03      2.83429960e-05      3.83754750e+06      8.28482897e+00      4.73977172e+00      -1.25550082e+07    
1.55000000e+03      1.50756300e+04      7.19702769e+02      3.39758748e+03      2.86591862e-05      3.85997903e+06      8.26985862e+00      4.72874617e+00      -1.25196961e+07    
1.60000000e+03      1.50756300e+04      7.51634384e+02      3.39420782e+03      2.89843509e-05      3.88015455e+06      8.25233868e+00      4.71673594e+00      -1.24829707e+07    
1.65000000e+03      1.50756300e+04      7.84871748e+02      3.39058891e+03      2.93127073e-05      3.89857195e+06      8.23370857e+00      4.70432517e+00      -1.24445324e+07    
1.70000000e+03      1.50756300e+04      8.19340667e+02      3.38687519e+03      2.96417944e-05      3.91570779e+06      8.21446260e+00      4.69125854e+00      -1.24044486e+07    
1.75000000e+03      1.50756300e+04      8.55102344e+02      3.38290678e+03      2.99795739e-05      3.93146971e+06      8.19400683e+00      4.67782010e+00      -1.23626373e+07    
1.80000000e+03      1.50756300e+04      8.92294795e+02      3.37872030e+03      3.03266042e-05      3.94598152e+06      8.17239106e+00      4.66381354e+00      -1.23189297e+07    
1.85000000e+03      1.50756300e+04      9.30861284e+02      3.37426917e+03      3.06846236e-05      3.95938317e+06      8.14942595e+00      4.64914718e+00      -1.22733486e+07    
1.90000000e+03      1.50756300e+04      9.70866609e+02      3.36955965e+03      3.10559276e-05      3.97177177e+06      8.12509909e+00      4.63381068e+00      -1.22258601e+07    
1.95000000e+03      1.50756300e+04      1.01237505e+03      3.36454925e+03      3.14434656e-05      3.98322505e+06      8.09918280e+00      4.61770871e+00      -1.21762484e+07    
2.00000000e+03      1.50756300e+04      1.05455873e+03      3.35744379e+03      3.18856474e-05      3.99143164e+06      8.06302927e+00      4.59849289e+00      -1.21244585e+07    
2.05000000e+03      1.50756300e+04      1.09921492e+03      3.35187670e+03      3.23118241e-05      4.00135753e+06      8.03389081e+00      4.58059231e+00      -1.20706324e+07    
2.10000000e+03      1.50756300e+04      1.14583247e+03      3.34642525e+03      3.27547715e-05      4.01127941e+06      8.00519325e+00      4.56256554e+00      -1.20145347e+07    
2.15000000e+03      1.50756300e+04      1.19386112e+03      3.34011833e+03      3.32364167e-05      4.01993996e+06      7.97207109e+00      4.54286583e+00      -1.19560616e+07    
2.20000000e+03      1.50756300e+04      1.24283521e+03      3.32898852e+03      3.38314096e-05      4.02233294e+06      7.91662948e+00      4.51548668e+00      -1.18950981e+07    
2.25000000e+03      1.50756300e+04      1.29117435e+03      3.29707345e+03      3.48575572e-05      3.99804198e+06      7.76576834e+00      4.45665342e+00      -1.18316550e+07    
2.30000000e+03      1.50756300e+04      1.34375762e+03      3.29055545e+03      3.54972772e-05      4.00674745e+06      7.72733440e+00      4.43454200e+00      -1.17658276e+07    
2.35000000e+03      1.50756300e+04      1.39819468e+03      3.28366677e+03      3.61824769e-05      4.01535740e+06      7.68697441e+00      4.41126098e+00      -1.16972197e+07    
2.40000000e+03      1.50756300e+04      1.45454645e+03      3.27640487e+03      3.69165459e-05      4.02403261e+06      7.64493094e+00      4.38691099e+00      -1.16259746e+07    
2.45000000e+03      1.50756300e+04      1.51288439e+03      3.26872641e+03      3.77065398e-05      4.03287044e+06      7.60118108e+00      4.36141486e+00      -1.15517878e+07    
2.50000000e+03      1.50756300e+04      1.57359188e+03      3.26069121e+03      3.85587590e-05      4.04214777e+06      7.55607088e+00      4.33506079e+00      -1.14745640e+07    
2.55000000e+03      1.50756300e+04      1.63633376e+03      3.25220305e+03      3.94796482e-05      4.05185764e+06      7.50926945e+00      4.30753520e+00      -1.13943452e+07    
2.60000000e+03      1.50756300e+04      1.70097679e+03      3.24313488e+03      4.04856607e-05      4.06194115e+06      7.45841355e+00      4.27793244e+00      -1.13109259e+07    
2.65000000e+03      1.50756300e+04      1.76836390e+03      3.23383123e+03      4.15495859e-05      4.07331700e+06      7.41135762e+00      4.24904245e+00      -1.12241964e+07    
2.70000000e+03      1.50756300e+04      1.83836991e+03      3.22399368e+03      4.27143091e-05      4.08565007e+06      7.36099106e+00      4.21831836e+00      -1.11341192e+07    
2.75000000e+03      1.50756300e+04      1.91084406e+03      3.21375227e+03      4.39304271e-05      4.09924690e+06      7.31353479e+00      4.18729988e+00      -1.10403361e+07    
2.80000000e+03      1.50756300e+04      1.98579973e+03      3.20291426e+03      4.52937175e-05      4.11445384e+06      7.26204511e+00      4.15459210e+00      -1.09429395e+07    
2.85000000e+03      1.50756300e+04      2.06357797e+03      3.19085633e+03      4.71875893e-05      4.13311471e+06      7.18693374e+00      4.11662835e+00      -1.08417149e+07    
2.90000000e+03      1.50756300e+04      2.14296125e+03      3.17921000e+03      4.85649125e-05      4.15146125e+06      7.14771750e+00      4.08359250e+00      -1.07366125e+07    
2.95000000e+03      1.50756300e+04      2.22580967e+03      3.16548232e+03      5.12236934e-05      4.17868965e+06      7.05826553e+00      4.04200957e+00      -1.06273503e+07    
3.00000000e+03      1.50756300e+04      2.30938995e+03      3.15349519e+03      5.21034345e-05      4.19740197e+06      7.04653405e+00      4.00854110e+00      -1.05140387e+07    
3.05000000e+03      1.50756300e+04      2.39672087e+03      3.13801715e+03      5.57599262e-05      4.23793552e+06      6.94712942e+00      3.96366843e+00      -1.03963384e+07    
3.10000000e+03      1.50756300e+04      2.48561599e+03      3.12071804e+03      6.11144748e-05      4.29781167e+06      6.82661980e+00      3.91472017e+00      -1.02742506e+07    
3.15000000e+03      1.50756300e+04      2.57940494e+03      3.11603379e+03      5.28062429e-05      4.24228931e+06      7.02389650e+00      3.89047178e+00      -1.01472914e+07    
3.20000000e+03      1.50756300e+04      2.67521807e+03      3.09992429e+03      5.54584759e-05      4.28140307e+06      6.94303339e+00      3.83949653e+00      -1.00159401e+07    
