# Header for the PREM reference profile representing an averaged Earth
# model from Dziewonski and Anderson (1981).
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 97
radius density vp vs vphi Qkappa Qmu eta shearmod bulkmod
3630000.00000001 5491.45000000 13652.34000000 7226.70000000 10805.22081938 57822.00000000 312.00000000 1.00000000 2.86792035e+11 6.41142147e+11
3700000.00000000 5456.57000000 13567.98000000 7194.92000000 10726.95589960 57822.00000000 312.00000000 1.00000000 2.82469571e+11 6.27874321e+11
3800000.00000000 5406.81000000 13449.53000000 7150.06000000 10617.22091146 57822.00000000 312.00000000 1.00000000 2.76414283e+11 6.09484711e+11
3900000.00000000 5357.06000000 13332.96000000 7105.61000000 10509.43533523 57822.00000000 312.00000000 1.00000000 2.70476317e+11 5.91677801e+11
4000000.00000000 5307.24000000 13217.65000000 7061.36000000 10403.00588563 57822.00000000 312.00000000 1.00000000 2.64633873e+11 5.74362948e+11
4100000.00000000 5257.29000000 13102.99000000 7017.11000000 10297.34123956 57822.00000000 312.00000000 1.00000000 2.58868080e+11 5.57457989e+11
4200000.00000000 5207.13000000 12988.35000000 6972.64000000 10191.84106511 57822.00000000 312.00000000 1.00000000 2.53158729e+11 5.40883465e+11
4300000.00000000 5156.69000000 12873.11000000 6927.72000000 10085.92526945 57822.00000000 312.00000000 1.00000000 2.47486593e+11 5.24568872e+11
4400000.00000000 5105.90000000 12756.67000000 6882.16000000 9979.00100886 57822.00000000 312.00000000 1.00000000 2.41836492e+11 5.08447877e+11
4500000.00000000 5054.69000000 12638.39000000 6835.74000000 9870.44983754 57822.00000000 312.00000000 1.00000000 2.36192225e+11 4.92457116e+11
4600000.00000000 5002.99000000 12517.67000000 6788.23000000 9759.71175386 57822.00000000 312.00000000 1.00000000 2.30538112e+11 4.76544671e+11
4700000.00000000 4950.73000000 12393.89000000 6739.43000000 9646.17128013 57822.00000000 312.00000000 1.00000000 2.24861744e+11 4.60658596e+11
4800000.00000000 4897.83000000 12266.42000000 6689.12000000 9529.21601098 57822.00000000 312.00000000 1.00000000 2.19150104e+11 4.44752144e+11
4900000.00000000 4844.22000000 12134.66000000 6637.10000000 9408.25053356 57822.00000000 312.00000000 1.00000000 2.13393202e+11 4.28786996e+11
5000000.00000000 4789.83000000 11997.98000000 6583.13000000 9282.67507876 57822.00000000 312.00000000 1.00000000 2.07579739e+11 4.12730343e+11
5100000.00000000 4734.60000000 11855.76000000 6527.02000000 9151.85182010 57822.00000000 312.00000000 1.00000000 2.01703382e+11 3.96553012e+11
5200000.00000000 4678.44000000 11707.39000000 6468.55000000 9015.17952172 57822.00000000 312.00000000 1.00000000 1.95755937e+11 3.80233015e+11
5300000.00000000 4621.29000000 11552.25000000 6407.49000000 8872.04838781 57822.00000000 312.00000000 1.00000000 1.89731350e+11 3.63756721e+11
5400000.00000000 4563.07000000 11389.72000000 6343.65000000 8721.80378410 57822.00000000 312.00000000 1.00000000 1.83626585e+11 3.47112102e+11
5500000.00000000 4503.72000000 11219.18000000 6276.80000000 8563.82170640 57822.00000000 312.00000000 1.00000000 1.77438543e+11 3.30298511e+11
5600000.00000000 4443.17000000 11040.02000000 6206.73000000 8397.46262529 57822.00000000 312.00000000 1.00000000 1.71166447e+11 3.13320701e+11
5600000.00000001 4443.16000000 11040.01000000 6206.72000000 8397.45933337 57822.00000000 312.00000000 1.00000000 1.71165511e+11 3.13319750e+11
5650000.00000000 4412.41000000 10885.33000000 6061.24000000 8336.99998553 57822.00000000 312.00000000 1.00000000 1.62105900e+11 3.06687067e+11
5701000.00000000 4380.71000000 10727.43000000 5912.94000000 8274.09260766 57822.00000000 312.00000000 1.00000000 1.53162148e+11 2.99906072e+11
5701000.00000001 3992.14000000 10218.52000000 5504.52000000 8001.15598418 57822.00000000 143.00000000 1.00000000 1.20960806e+11 2.55570803e+11
5736000.00000000 3983.99000000 10164.54000000 5477.75000000 7956.77153928 57822.00000000 143.00000000 1.00000000 1.19542588e+11 2.52227257e+11
5771000.00000000 3975.84000000 10110.55000000 5450.97000000 7912.38202953 57822.00000000 143.00000000 1.00000000 1.18134428e+11 2.48910602e+11
5771000.00000001 3975.84000000 10110.55000000 5450.97000000 7912.38202953 57822.00000000 143.00000000 1.00000000 1.18134428e+11 2.48910602e+11
5821000.00000000 3912.82000000 9855.88000000 5306.82000000 7719.36434502 57822.00000000 143.00000000 1.00000000 1.10194161e+11 2.33159411e+11
5871000.00000000 3849.80000000 9601.22000000 5162.68000000 7526.33636718 57822.00000000 143.00000000 1.00000000 1.02609739e+11 2.18074766e+11
5921000.00000000 3786.78000000 9346.55000000 5018.54000000 7333.28066150 57822.00000000 143.00000000 1.00000000 9.53728706e+10 2.03641688e+11
5971000.00000000 3723.78000000 9091.93000000 4874.42000000 7140.25424452 57822.00000000 143.00000000 1.00000000 8.84769023e+10 1.89850335e+11
5971000.00000001 3543.25000000 8864.89000000 4713.64000000 6997.26651243 57822.00000000 143.00000000 1.00000000 7.87253531e+10 1.73483680e+11
6016000.00000000 3516.39000000 8778.48000000 4682.52000000 6915.71059568 57822.00000000 143.00000000 1.00000000 7.71003445e+10 1.68178571e+11
6061000.00000000 3489.51000000 8692.04000000 4651.39000000 6834.05595422 57822.00000000 143.00000000 1.00000000 7.54970456e+10 1.62975194e+11
6106000.00000000 3462.64000000 8605.61000000 4620.27000000 6752.33270618 57822.00000000 143.00000000 1.00000000 7.39166121e+10 1.57875598e+11
6151000.00000000 3435.78000000 8519.20000000 4589.14000000 6670.56924511 57822.00000000 143.00000000 1.00000000 7.23582344e+10 1.52880164e+11
6151000.00000001 3359.50000000 7930.29279081 4345.91056718 6140.59922734 57822.00000000 80.00000000 0.97654000 6.34506704e+10 1.26676528e+11
6171000.00000000 3361.67000000 7946.08720126 4348.76436668 6158.29790777 57822.00000000 80.00000000 0.96877000 6.35750677e+10 1.27490101e+11
6191000.00000000 3363.84000000 7961.89340188 4351.64638396 6175.97319253 57822.00000000 80.00000000 0.96099000 6.37004536e+10 1.28305755e+11
6211000.00000000 3366.02000000 7977.69942780 4354.55323870 6193.61307710 57822.00000000 80.00000000 0.95321000 6.38269220e+10 1.29123365e+11
6231000.00000000 3368.19000000 7993.50917663 4357.47825741 6211.22907363 57822.00000000 80.00000000 0.94543000 6.39539009e+10 1.29942637e+11
6251000.00000000 3370.36000000 8009.31872594 4360.43464901 6228.80400634 57822.00000000 80.00000000 0.93765000 6.40819702e+10 1.30763225e+11
6271000.00000000 3372.54000000 8025.13002041 4363.41572810 6246.34688621 57822.00000000 80.00000000 0.92987000 6.42111273e+10 1.31585885e+11
6291000.00000000 3374.71000000 8040.93305016 4366.41803494 6263.84831469 57822.00000000 80.00000000 0.92210000 6.43408928e+10 1.32409432e+11
6291000.00000001 3374.71000000 8102.61850243 4447.91887655 6266.87988445 57822.00000000 600.00000000 0.92209000 6.67652030e+10 1.32537630e+11
6311000.00000000 3376.88000000 8118.66944591 4451.00578593 6284.70552719 57822.00000000 600.00000000 0.91432000 6.69008977e+10 1.33378397e+11
6331000.00000000 3379.06000000 8134.73381936 4454.11452574 6302.51637844 57822.00000000 600.00000000 0.90654000 6.70376316e+10 1.34222051e+11
6346600.00000000 3380.76000000 8147.27369300 4456.56466955 6316.38956130 57822.00000000 600.00000000 0.90047000 6.71451684e+10 1.34881428e+11
6346600.00000001 2900.00000000 6791.51000000 3889.04000000 5094.94179731 57822.00000000 600.00000000 1.00000000 4.38614332e+10 7.52794526e+10
6356000.00000000 2900.00000000 6791.51000000 3889.04000000 5094.94179731 57822.00000000 600.00000000 1.00000000 4.38614332e+10 7.52794526e+10
6356000.00000001 2600.00000000 5793.28000000 3191.01000000 4470.49960649 57822.00000000 600.00000000 1.00000000 2.64746165e+10 5.19619535e+10
6368000.00000000 2600.00000000 5793.28000000 3191.01000000 4470.49960649 57822.00000000 600.00000000 1.00000000 2.64746165e+10 5.19619535e+10
6368000.00000001 1020.00000000 1449.96000000 0.00000000 1449.96000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 2.14443168e+09
6371000.00000000 1020.00000000 1449.96000000 0.00000000 1449.96000000 57822.00000000 0.00000000 1.00000000 0.00000000e+00 2.14443168e+09
