# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. 
#
# POINTS: 1401 
# depth (m), pressure (Pa), temperature (K), density (kg/m^3)
depth             pressure          temperature       density
207650 6700000000 1707.6871890420343334 3527.89
210656 6.8e+09 1709.1326540802497220 3530.16
213663 6900000000 1710.5741173564374549 3532.42
216669 7000000000 1712.0116052134403617 3534.67
219675 7.1e+09 1713.4451437861237082 3536.92
222608 7200000000 1714.8747588839373748 3539.17
225533 7.3e+09 1716.3004760635403727 3541.4
228457 7400000000 1717.7223206489584300 3543.64
231381 7500000000 1719.1403176915114273 3545.87
234305 7.6e+09 1720.5544918467712705 3548.1
237229 7700000000 1721.9648675531905155 3550.32
240153 7.8e+09 1723.3714689903799808 3552.53
243078 7900000000 1724.7743200633692595 3554.74
246002 8000000000 1726.1734445190948009 3556.95
248926 8100000000 1727.5688658900419341 3559.15
251850 8.2e+09 1728.9606074158093634 3561.35
254774 8.3e+09 1730.3486920794405250 3563.55
257698 8400000000 1731.7331426781838672 3565.73
260623 8500000000 1733.1139816978006820 3567.92
263547 8600000000 1734.4912314273083211 3570.1
266457 8.7e+09 1735.8649139410488260 3572.27
269355 8800000000 1737.2350510962733097 3574.45
272253 8900000000 1738.6016644474659643 3576.61
275150 9000000000 1739.9647754536752018 3578.78
278048 9100000000 1741.3244053110595360 3580.93
280946 9.2e+09 1742.6805750548187461 3583.09
283843 9300000000 1744.0333054926418299 3585.24
286741 9400000000 1745.3826173027957793 3587.38
289638 9500000000 1746.7285307963293235 3589.53
292536 9.6e+09 1748.0710661378811892 3591.66
295434 9.7e+09 1749.4102432906704507 3593.8
298331 9800000000 1750.7460820578587573 3595.92
301229 9900000000 1752.0786020538937464 3598.05
304127 10000000000 1753.4078227370075638 3600.17
307024 1.01e+10 1754.7337633655040463 3602.29
309922 1.02e+10 1756.0564429737189585 3604.4
312793 10300000000 1757.3758804356639303 3606.51
315664 10400000000 1758.6920944104738282 3608.61
318535 10500000000 1760.0051034737623468 3610.72
321406 1.06e+10 1761.3149259970832645 3612.81
324277 1.07e+10 1762.6215801964376624 3614.91
327147 10800000000 1763.9250840840197725 3616.99
330018 10900000000 1765.2254554833202747 3619.08
332889 11000000000 1766.5227120832353194 3621.16
335760 1.11e+10 1767.8168714076500692 3623.24
338631 1.12e+10 1769.1079508726254517 3625.31
341501 11300000000 1770.3959677079303674 3627.38
344372 11400000000 1771.6809390742582764 3629.45
347243 11500000000 1772.9628818298353963 3631.51
350114 1.16e+10 1774.2418126566205956 3633.57
352985 1.17e+10 1775.5177481274220099 3635.63
355848 11800000000 1776.7907046780671863 3637.68
358693 11900000000 1778.0606985986264590 3639.73
361537 12000000000 1779.3277460231015539 3641.77
364382 1.21e+10 1780.5918630707742523 3643.81
367227 1.22e+10 1781.8530656197094686 3645.85
370072 12300000000 1783.1113694184275573 3647.88
372917 12400000000 1784.3667900828411348 3649.91
375762 12500000000 1785.6193431071012583 3651.94
378607 1.26e+10 1786.8690438256787729 3653.96
381452 1.27e+10 1788.1159074545237218 3655.98
384296 12800000000 1789.3599490854564920 3658
387141 12900000000 1790.6011836643240258 3660.01
389986 13000000000 1791.8396260453828290 3662.02
392831 1.31e+10 1793.0752909000809723 3664.02
395676 1.32e+10 1794.3081927718130828 3666.02
398521 13300000000 1795.5383461215953957 3668.02
401281 13400000000 1796.7657652768973549 3670.02
403951 13500000000 1797.9904644391911006 3672.01
406620 1.36e+10 1799.2124576512715066 3674
409289 1.37e+10 1800.4317589488598514 3675.98
411959 13800000000 1801.6483821998124313 3677.97
414628 13900000000 1802.8623411488429156 3679.94
417298 14000000000 1804.0736494414982189 3681.92
419967 1.41e+10 1805.2823206631512676 3683.89
422636 1.42e+10 1806.4883681812084433 3685.86
425306 14300000000 1807.6918052635619460 3687.83
427975 14400000000 1808.8926451112654377 3689.79
430644 14500000000 1810.0909008081396223 3691.75
433314 1.46e+10 1811.2865853357725427 3693.7
435983 1.47e+10 1812.4797115273363488 3695.66
438653 14800000000 1813.6702921948108269 3697.6
441322 14900000000 1814.8583400135405554 3699.55
443991 15000000000 1816.0438675402781428 3701.49
446661 1.51e+10 1817.2268872640627251 3703.43
449330 1.52e+10 1818.4074115917842391 3705.37
451965 15300000000 1819.5854527992169096 3707.31
454588 15400000000 1820.7610230727227645 3709.24
457211 15500000000 1821.9341344756794570 3711.16
459835 1.56e+10 1823.1047989964818044 3713.09
462458 1.57e+10 1824.2730285250281668 3715.01
465081 15800000000 1825.4388348556722121 3716.93
467705 15900000000 1826.6022297147274003 3718.84
470328 16000000000 1827.7632247307947182 3720.76
472951 1.61e+10 1828.9218314459919839 3722.67
475575 16200000000 1830.0780613116235145 3724.57
478198 16300000000 1831.2319256705861790 3726.48
480821 1.64e+10 1832.3834357905932393 3728.38
483444 16500000000 1833.5326028471122299 3730.28
486068 1.66e+10 1834.6794379394864336 3732.17
488691 16700000000 1835.8239520937379439 3734.06
491314 16800000000 1836.9661562496055467 3735.95
493938 1.69e+10 1838.1060612657183810 3737.84
496561 17000000000 1839.2436779151246355 3739.72
499184 1.71e+10 1840.3790168795674163 3741.6
501777 17200000000 1841.5120887692021370 3743.48
504355 17300000000 1842.6429041052019784 3745.35
506933 1.74e+10 1843.7714733449240612 3747.23
509512 17500000000 1844.8978068620181148 3749.1
512090 17600000000 1846.0219149634397127 3750.96
514668 17700000000 1847.1438079034974180 3752.83
517247 17800000000 1848.2634958414416815 3754.69
519825 1.79e+10 1849.3809888469297675 3756.55
522404 18000000000 1850.4962969265004631 3758.4
524982 18100000000 1851.6094300279830804 3760.25
527560 18200000000 1852.7203980054252952 3762.1
530139 18300000000 1853.8292106398519081 3763.95
532717 1.84e+10 1854.9358776482154099 3765.8
535296 18500000000 1856.0404086826893035 3767.64
537874 18600000000 1857.1428133283070565 3769.48
540452 18700000000 1858.2431010778752807 3771.31
543031 18800000000 1859.3412813744805590 3773.15
545609 1.89e+10 1860.4373636010336668 3774.98
548187 19000000000 1861.5313570611763225 3776.81
550753 19100000000 1862.6232710094725462 3778.63
553288 1.92e+10 1863.7131146283361431 3780.46
555823 19300000000 1864.8008970303033038 3782.28
558359 1.94e+10 1865.8866272770906107 3784.1
560894 19500000000 1866.9703143587319119 3785.91
563429 19600000000 1868.0519672033115057 3787.73
565964 1.97e+10 1869.1315946773379437 3789.54
568500 19800000000 1870.2092055784278273 3791.34
571035 1.99e+10 1871.2848086590345247 3793.15
573570 20000000000 1872.3584126082698731 3794.95
576105 20100000000 1873.4300260541954231 3796.75
578641 2.02e+10 1874.4996575730353925 3798.55
581176 20300000000 1875.5673156713955905 3800.35
583711 2.04e+10 1876.6330087905105302 3802.14
586246 20500000000 1877.6967453246281821 3803.93
588782 20600000000 1878.7585336295985599 3805.72
591317 2.07e+10 1879.8183819380371915 3807.5
593852 20800000000 1880.8762984877369036 3809.29
596387 2.09e+10 1881.9322914467618375 3811.07
598923 21000000000 1882.9863689281476127 3812.85
601444 21100000000 1884.0385390119724889 3814.62
603955 2.12e+10 1885.0888096297553602 3816.4
606466 21300000000 1886.1371887688205788 3818.17
608977 2.14e+10 1887.1836843409871562 3819.94
611488 21500000000 1888.2283041827597572 3821.7
613999 21600000000 1889.2710560983948653 3823.47
616509 2.17e+10 1890.3119478491007612 3825.23
619020 21800000000 1891.3509871575256511 3826.99
621531 2.19e+10 1892.3881816775442530 3828.74
624042 22000000000 1893.4235389889299768 3830.5
626553 22100000000 1894.4570666166512183 3832.25
629064 2.22e+10 1895.4887720511464977 3834
631575 22300000000 1896.5186627345242414 3835.75
634086 2.24e+10 1897.5467460485429001 3837.49
636593 22500000000 1898.5730293406516012 3839.24
639099 22600000000 1899.5975199309466461 3840.98
641604 2.27e+10 1900.6202250781204839 3842.72
644110 22800000000 1901.6411519984119423 3844.45
646615 2.29e+10 1902.6603078636410373 3846.19
649120 23000000000 1903.6776997784772902 3847.92
651626 23100000000 1904.6933348074696823 3849.65
654131 2.32e+10 1905.7072199785998237 3851.37
656636 23300000000 1906.7193622686809249 3853.1
659142 2.34e+10 1907.7297686272424926 3854.82
661647 23500000000 1904.9154639632597537 3860.7
664152 23600000000 1895.1107436020113255 3874.25
666658 2.37e+10 1885.3117046586066863 3887.91
669163 23800000000 1875.5183144710197212 3901.67
671513 2.39e+10 1865.7303998033819425 3915.54
673785 24000000000 1855.9478116360874083 3929.53
676057 24100000000 1846.1704785478423219 3943.63
678328 2.42e+10 1836.3983310388725840 3957.85
680600 24300000000 1826.6313155941559216 3972.19
682872 2.44e+10 1816.8695069196257919 3986.65
685144 24500000000 1807.1126067770983354 4001.23
687416 24600000000 1804.3889824818697889 4007.32
689688 2.47e+10 1805.3014287446881099 4008.97
691959 24800000000 1806.2125106965438590 4010.62
694231 2.49e+10 1807.1222309888182735 4012.26
696503 25000000000 1808.0305944080946574 4013.9
698775 25100000000 1808.9376056852045167 4015.54
701047 2.52e+10 1809.8432695754088400 4017.18
703318 25300000000 1810.7475908019496273 4018.82
705590 2.54e+10 1811.6505740507964219 4020.45
707862 25500000000 1812.5522239816275487 4022.09
710134 25600000000 1813.4525452291222791 4023.72
712406 2.57e+10 1814.3515424014967721 4025.35
714678 25800000000 1815.2492201147003925 4026.98
716949 2.59e+10 1816.1455828921120883 4028.61
719221 26000000000 1817.0406352603233699 4030.23
721490 26100000000 1817.9343817233357186 4031.85
723748 2.62e+10 1818.8268267607679718 4033.48
726006 26300000000 1819.7179748277269482 4035.1
728264 2.64e+10 1820.6078303539675289 4036.72
730522 26500000000 1821.4963977389656975 4038.33
732780 26600000000 1822.3836813757620803 4039.95
735038 2.67e+10 1823.2696856246243442 4041.56
737296 26800000000 1824.1544148225725621 4043.17
739554 2.69e+10 1825.0378732832068636 4044.78
741812 27000000000 1825.9200652972774606 4046.39
744069 27100000000 1826.8009951315739272 4048
746327 2.72e+10 1827.6806670191904232 4049.6
748585 27300000000 1828.5590851959173051 4051.21
750843 2.74e+10 1829.4362538637058151 4052.81
753101 27500000000 1830.3121772012279962 4054.41
755359 27600000000 1831.1868593652920936 4056.01
757617 2.77e+10 1832.0603044909653363 4057.6
759875 27800000000 1832.9325166911789893 4059.2
762133 2.79e+10 1833.8035000690363177 4060.79
764391 28000000000 1834.6732586807318057 4062.39
766649 28100000000 1835.5417965730139258 4063.98
768907 2.82e+10 1836.4091177715465619 4065.57
771163 28300000000 1837.2752262809035528 4067.15
773401 2.84e+10 1838.1401261141986652 4068.74
775638 28500000000 1839.0038212534557260 4070.32
777875 28600000000 1839.8663155847712005 4071.91
780113 2.87e+10 1840.7276130372290481 4073.49
782350 28800000000 1841.5877175145406000 4075.07
784587 2.89e+10 1842.4466328988446548 4076.64
786825 29000000000 1843.3043630527174628 4078.22
789062 29100000000 1844.1609118183960163 4079.8
791299 2.92e+10 1845.0162830188276075 4081.37
793537 29300000000 1845.8704804609981238 4082.94
795774 2.94e+10 1846.7235079267782112 4084.51
798011 29500000000 1847.5753691770253226 4086.08
800249 29600000000 1848.4260679560497920 4087.65
802486 2.97e+10 1849.2756079891039462 4089.21
804723 29800000000 1850.1239929827163451 4090.78
806961 2.99e+10 1850.9712266243977865 4092.34
809198 30000000000 1851.8173125802106824 4093.9
811435 30100000000 1852.6622544988297250 4095.46
813673 3.02e+10 1853.5060560183383132 4097.02
815910 30300000000 1854.3487207531891272 4098.57
818147 3.04e+10 1855.1902522999050689 4100.13
820385 30500000000 1856.0306542369987710 4101.68
822622 30600000000 1856.8699301249091604 4103.23
824859 3.07e+10 1857.7080835065194151 4104.78
827097 30800000000 1858.5451179298272564 4106.33
829334 3.09e+10 1859.3810368767149157 4107.88
831571 31000000000 1860.2158438348794789 4109.43
833809 31100000000 1861.0495422746846543 4110.97
836046 3.12e+10 1861.8821356493460826 4112.51
838283 31300000000 1862.7136273951225576 4114.06
840521 3.14e+10 1863.5440209320395297 4115.6
842758 31500000000 1864.3733196413018049 4117.13
844995 31600000000 1865.2015269141736553 4118.67
847233 3.17e+10 1866.0286461409655203 4120.21
849470 31800000000 1866.8546806782385374 4121.74
851707 3.19e+10 1867.6796338661254140 4123.27
853945 32000000000 1868.5035090285157366 4124.81
856182 32100000000 1869.3263094715746320 4126.34
858419 3.22e+10 1870.1480384872336344 4127.86
860657 3.23e+10 1870.9686993816123959 4129.39
862894 32400000000 1871.7882953828436712 4130.92
865131 32500000000 1872.6068297322503895 4132.44
867369 32600000000 1873.4243056555474141 4133.96
869606 3.27e+10 1874.2407263628813325 4135.49
871834 3.28e+10 1875.0560950501535444 4137.01
874045 32900000000 1875.8704148998176606 4138.52
876256 33000000000 1876.6836890654642502 4140.04
878466 33100000000 1877.4959206936596274 4141.56
880677 3.32e+10 1878.3071129280908735 4143.07
882888 3.33e+10 1879.1172688888329958 4144.59
885099 33400000000 1879.9263916813515607 4146.1
887310 33500000000 1880.7344843960227081 4147.61
889521 33600000000 1881.5415501066577235 4149.12
891732 3.37e+10 1882.3475918767896928 4150.62
893943 3.38e+10 1883.1526127641034236 4152.13
896154 33900000000 1883.9566157944720999 4153.63
898365 34000000000 1884.7596039809882313 4155.14
900576 34100000000 1885.5615803266757666 4156.64
902787 3.42e+10 1886.3625478205744912 4158.14
904998 3.43e+10 1887.1625094375417575 4159.64
907209 34400000000 1887.9614681387804467 4161.14
909420 34500000000 1888.7594268718362400 4162.64
911631 34600000000 1889.5563885510168802 4164.13
913842 34700000000 1890.3523561166518903 4165.62
916053 3.48e+10 1891.1473324785865771 4167.12
918264 34900000000 1891.9413205318551263 4168.61
920475 35000000000 1892.7343231582374301 4170.1
922686 35100000000 1893.5263432261763228 4171.59
924897 35200000000 1894.3173835908439742 4173.07
927108 3.53e+10 1895.1074470962400937 4174.56
929319 35400000000 1895.8965365878134435 4176.05
931530 35500000000 1896.6846548611595153 4177.53
933741 35600000000 1897.4718047174933417 4179.01
935952 35700000000 1898.2579889453834312 4180.49
938163 3.58e+10 1899.0432103205719159 4181.97
940374 35900000000 1899.8274716062603602 4183.45
942585 36000000000 1900.6107755529596943 4184.93
944796 36100000000 1901.3931248970072829 4186.4
947007 36200000000 1902.1745223549924049 4187.88
949218 3.63e+10 1902.9549706529924151 4189.35
951429 36400000000 1903.7344724934951046 4190.82
953639 36500000000 1904.5130305668112669 4192.29
955850 36600000000 1905.2906475511199460 4193.76
958061 36700000000 1906.0673261126962643 4195.23
960272 3.68e+10 1906.8430689057508971 4196.69
962483 36900000000 1907.6178785735419297 4198.16
964694 37000000000 1908.3917577512827393 4199.62
966905 37100000000 1909.1647090515641594 4201.09
969116 37200000000 1909.9367350810557582 4202.55
971324 3.73e+10 1910.7078384347437350 4204.01
973509 37400000000 1911.4780216961776205 4205.47
975695 37500000000 1912.2472874373268041 4206.93
977880 37600000000 1913.0156382190459681 4208.38
980066 37700000000 1913.7830765904859618 4209.84
982252 3.78e+10 1914.5496050838733026 4211.29
984437 37900000000 1915.3152262329722362 4212.74
986623 38000000000 1916.0799425544635142 4214.2
988808 38100000000 1916.8437565557953803 4215.65
990994 38200000000 1917.6066707289760416 4217.09
993180 3.83e+10 1918.3686875575081103 4218.54
995365 3.84e+10 1919.1298095135359745 4219.99
997551 38500000000 1919.8900390595781573 4221.43
999736 38600000000 1920.6493786511814506 4222.88
1.00192e+06 38700000000 1921.4078307243460131 4224.32
1.00411e+06 3.88e+10 1922.1653977057467273 4225.76
1.00629e+06 3.89e+10 1922.9220820139237276 4227.2
1.00848e+06 39000000000 1923.6778860594299658 4228.64
1.01066e+06 39100000000 1924.4328122406309376 4230.08
1.01285e+06 39200000000 1925.1868629453624635 4231.52
1.01504e+06 3.93e+10 1925.9400405513704300 4232.95
1.01722e+06 3.94e+10 1926.6923474296238510 4234.39
1.01941e+06 39500000000 1927.4437859363395091 4235.82
1.02159e+06 39600000000 1928.1943584164059757 4237.25
1.02378e+06 39700000000 1928.9440672059429289 4238.69
1.02596e+06 3.98e+10 1929.6929146311767909 4240.12
1.02815e+06 3.99e+10 1930.4409030089123007 4241.54
1.03033e+06 40000000000 1931.1880346464017748 4242.97
1.03252e+06 40100000000 1931.9343118395961483 4244.4
1.03471e+06 40200000000 1932.6797368721663588 4245.82
1.03689e+06 4.03e+10 1933.4243120078804168 4247.25
1.03908e+06 4.04e+10 1934.1680395367968686 4248.67
1.04126e+06 40500000000 1934.9109217182854081 4250.09
1.04345e+06 40600000000 1935.6529608034306875 4251.51
1.04563e+06 40700000000 1936.3941590334582088 4252.93
1.04782e+06 4.08e+10 1937.1345186403689240 4254.35
1.05001e+06 4.09e+10 1937.8740418469330962 4255.77
1.05219e+06 41000000000 1938.6127308664720204 4257.18
1.05438e+06 41100000000 1939.3505879245601591 4258.6
1.05656e+06 41200000000 1940.0876151980887698 4260.01
1.05875e+06 4.13e+10 1940.8238148650250423 4261.42
1.06093e+06 4.14e+10 1941.5591890999212410 4262.83
1.06312e+06 41500000000 1942.2937400680466453 4264.24
1.0653e+06 41600000000 1943.0274699258807232 4265.65
1.06749e+06 41700000000 1943.7603808209926228 4267.06
1.06968e+06 4.18e+10 1944.4924748920625461 4268.47
1.07185e+06 4.19e+10 1945.2237542645266331 4269.87
1.07401e+06 42000000000 1945.9542210478323341 4271.28
1.07617e+06 42100000000 1946.6838773725080500 4272.68
1.07833e+06 42200000000 1947.4127253437111449 4274.08
1.0805e+06 4.23e+10 1948.1407670583564595 4275.48
1.08266e+06 4.24e+10 1948.8680046043855327 4276.88
1.08482e+06 42500000000 1949.5944400614114329 4278.28
1.08698e+06 42600000000 1950.3200755004224902 4279.68
1.08914e+06 42700000000 1951.0449129842536422 4281.08
1.0913e+06 4.28e+10 1951.7689545771304438 4282.47
1.09346e+06 4.29e+10 1952.4922023206315771 4283.87
1.09562e+06 43000000000 1953.2146582440832390 4285.26
1.09778e+06 43100000000 1953.9363243757120472 4286.65
1.09994e+06 43200000000 1954.6572027350230201 4288.04
1.1021e+06 4.33e+10 1955.3772953339196192 4289.43
1.10427e+06 4.34e+10 1956.0966041756917093 4290.82
1.10643e+06 43500000000 1956.8151312545246583 4292.21
1.10859e+06 43600000000 1957.5328785586000322 4293.6
1.11075e+06 43700000000 1958.2498480631793427 4294.98
1.11291e+06 4.38e+10 1958.9660417450309069 4296.37
1.11507e+06 4.39e+10 1959.6814615689240782 4297.75
1.11723e+06 44000000000 1960.3961094911383043 4299.13
1.11939e+06 44100000000 1961.1099874603448825 4300.51
1.12155e+06 44200000000 1961.8230974173065988 4301.89
1.12371e+06 4.43e+10 1962.5354412966332802 4303.27
1.12588e+06 4.44e+10 1963.2470210228900669 4304.65
1.12804e+06 44500000000 1963.9578385106597125 4306.03
1.1302e+06 44600000000 1964.6678956535683938 4307.4
1.13236e+06 44700000000 1965.3771943746430679 4308.78
1.13452e+06 4.48e+10 1966.0857365705207940 4310.15
1.13668e+06 4.49e+10 1966.7935241300590405 4311.53
1.13884e+06 45000000000 1967.5005589350676019 4312.9
1.141e+06 45100000000 1968.2068428590757776 4314.27
1.14316e+06 45200000000 1968.9123777692248041 4315.64
1.14532e+06 4.53e+10 1969.6171655253283461 4317.01
1.14748e+06 4.54e+10 1970.3212079905158589 4318.37
1.14965e+06 45500000000 1971.0245070345326894 4319.74
1.15181e+06 45600000000 1971.7270644552820613 4321.11
1.15397e+06 45700000000 1972.4288820801525617 4322.47
1.15613e+06 4.58e+10 1973.1299617289857906 4323.83
1.15829e+06 4.59e+10 1973.8303052149196901 4325.2
1.16045e+06 46000000000 1974.5299143440297485 4326.56
1.16261e+06 46100000000 1975.2287909151966687 4327.92
1.16477e+06 46200000000 1975.9269367205401977 4329.28
1.16693e+06 4.63e+10 1976.6243535337064259 4330.64
1.16909e+06 4.64e+10 1977.3210431109655474 4331.99
1.17125e+06 46500000000 1978.0170072616908783 4333.35
1.17339e+06 46600000000 1978.7122477538687235 4334.7
1.17553e+06 46700000000 1979.4067663486159745 4336.06
1.17766e+06 4.68e+10 1980.1005648005518651 4337.41
1.1798e+06 4.69e+10 1980.7936448571683741 4338.76
1.18194e+06 47000000000 1981.4860082594998403 4340.12
1.18407e+06 47100000000 1982.1776567418946797 4341.47
1.18621e+06 47200000000 1982.8685920367688595 4342.81
1.18835e+06 4.73e+10 1983.5588158805205694 4344.16
1.19049e+06 4.74e+10 1984.2483299655195879 4345.51
1.19262e+06 47500000000 1984.9371359981432761 4346.86
1.19476e+06 47600000000 1985.6252356787099416 4348.2
1.1969e+06 47700000000 1986.3126306997337451 4349.55
1.19903e+06 4.78e+10 1986.9993227478739755 4350.89
1.20117e+06 4.79e+10 1987.6853135038390974 4352.23
1.20331e+06 48000000000 1988.3706046415127275 4353.57
1.20544e+06 48100000000 1989.0551978287746806 4354.91
1.20758e+06 48200000000 1989.7390947225374020 4356.25
1.20972e+06 4.83e+10 1990.4222969830968850 4357.59
1.21186e+06 4.84e+10 1991.1048062591696635 4358.93
1.21399e+06 48500000000 1991.7866241949868709 4360.26
1.21613e+06 48600000000 1992.4677524278547480 4361.6
1.21827e+06 48700000000 1993.1481925887073885 4362.93
1.2204e+06 4.88e+10 1993.8279463027554357 4364.27
1.22254e+06 4.89e+10 1994.5070151889751742 4365.6
1.22468e+06 49000000000 1995.1854008601962960 4366.93
1.22681e+06 49100000000 1995.8631049196399090 4368.26
1.22895e+06 49200000000 1996.5401289712738162 4369.59
1.23109e+06 4.93e+10 1997.2164746116593506 4370.92
1.23323e+06 4.94e+10 1997.8921434303140359 4372.25
1.23536e+06 49500000000 1998.5671370107615985 4373.57
1.2375e+06 49600000000 1999.2414569308411956 4374.9
1.23964e+06 49700000000 1999.9151047625136925 4376.22
1.24177e+06 4.98e+10 2000.5880820719362418 4377.55
1.24391e+06 4.99e+10 2001.2604004009299388 4378.87
1.24605e+06 50000000000 2001.9320413131224541 4380.19
1.24819e+06 50100000000 2002.6030163671200626 4381.51
1.25032e+06 50200000000 2003.2733271066206271 4382.83
1.25246e+06 5.03e+10 2003.9429750693966525 4384.15
1.2546e+06 5.04e+10 2004.6119617876054235 4385.47
1.25673e+06 50500000000 2005.2802887878146976 4386.79
1.25887e+06 50600000000 2005.9479575910454514 4388.1
1.26101e+06 50700000000 2006.6149697127766558 4389.42
1.26314e+06 5.08e+10 2007.2813266631019360 4390.73
1.26528e+06 5.09e+10 2007.9470299495433210 4392.04
1.26742e+06 51000000000 2008.6120810766378781 4393.36
1.26956e+06 51100000000 2009.2764815282414474 4394.67
1.27168e+06 51200000000 2009.9402327917396178 4395.98
1.2738e+06 5.13e+10 2010.6033363491592354 4397.29
1.27591e+06 5.14e+10 2011.2657936772009180 4398.6
1.27803e+06 51500000000 2011.9276062472545163 4399.91
1.28014e+06 51600000000 2012.5887755254209424 4401.21
1.28225e+06 51700000000 2013.2493029705763092 4402.52
1.28437e+06 5.18e+10 2013.9091900391952095 4403.82
1.28648e+06 5.19e+10 2014.5684381761282111 4405.13
1.28859e+06 52000000000 2015.2270488278982157 4406.43
1.29071e+06 52100000000 2015.8850234424337486 4407.73
1.29282e+06 52200000000 2016.5423634558535468 4409.03
1.29493e+06 5.23e+10 2017.1990702991693070 4410.33
1.29705e+06 5.24e+10 2017.8551453983025112 4411.63
1.29916e+06 52500000000 2018.5105901745009760 4412.93
1.30127e+06 52600000000 2019.1654060460632536 4414.23
1.30339e+06 52700000000 2019.8195944206156582 4415.53
1.3055e+06 5.28e+10 2020.4731567036942579 4416.82
1.30761e+06 5.29e+10 2021.1260943119589228 4418.12
1.30973e+06 53000000000 2021.7784086257579474 4419.41
1.31184e+06 53100000000 2022.4301010327972108 4420.71
1.31395e+06 53200000000 2023.0811729177673897 4422
1.31607e+06 5.33e+10 2023.7316256605183753 4423.29
1.31818e+06 5.34e+10 2024.3814606352084411 4424.58
1.3203e+06 53500000000 2025.0306792123369632 4425.87
1.32241e+06 53600000000 2025.6792827580452467 4427.16
1.32452e+06 53700000000 2026.3272726330908426 4428.45
1.32664e+06 5.38e+10 2026.9746501903146054 4429.73
1.32875e+06 5.39e+10 2027.6214167699558857 4431.02
1.33086e+06 54000000000 2028.2675737342158300 4432.31
1.33298e+06 54100000000 2028.9131224261175248 4433.59
1.33509e+06 54200000000 2029.5580641840160752 4434.87
1.3372e+06 5.43e+10 2030.2024003394512874 4436.16
1.33932e+06 5.44e+10 2030.8461322238570119 4437.44
